,basYm,crno,fncoCd,fncoNm,spacsbClsfThqrAmt,spacsbClsfThqrCcnt,spacsbDcd,spacsbDcdNm
56,201203,1101110005953,0010595,삼성생명보험주식회사,16782899159000,397917,A11,[일반계정]_개인_생존
57,201203,1101110018443,0010596,흥국생명보험주식회사,3916477552000,58840,A11,[일반계정]_개인_생존
58,201203,1101110014970,0010597,교보생명보험주식회사,10418612883000,285000,A11,[일반계정]_개인_생존
59,201203,1101110667498,0010599,신한생명보험주식회사,2351827152000,67654,A11,[일반계정]_개인_생존
60,201203,1801110078443,0010605,DGB생명보험주식회사,456648360000,8193,A11,[일반계정]_개인_생존
61,201203,2001110014608,0010607,케이디비생명보험주식회사,1110021530000,30618,A11,[일반계정]_개인_생존
62,201203,1601110014483,0010608,미래에셋생명보험주식회사,5993796930000,122814,A11,[일반계정]_개인_생존
63,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,211294106000,4270,A11,[일반계정]_개인_생존
64,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,768475540000,18056,A11,[일반계정]_개인_생존
65,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,3032385554000,72237,A11,[일반계정]_개인_생존
66,201203,1101110818463,0010618,하나생명보험주식회사,376695970000,8134,A11,[일반계정]_개인_생존
67,201203,1101110623606,0010619,DB생명보험주식회사,1182788326000,25756,A11,[일반계정]_개인_생존
68,201203,1101110631154,0010620,메트라이프생명보험(주),459460400000,11762,A11,[일반계정]_개인_생존
69,201203,1101110624688,0010622,동양생명보험주식회사,1836005753000,44583,A11,[일반계정]_개인_생존
70,201203,1101110705322,0010624,PCA생명보험주식회사,64448350000,2087,A11,[일반계정]_개인_생존
71,201203,1101110709232,0010625,처브라이프생명보험주식회사,29147880000,913,A11,[일반계정]_개인_생존
72,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,11628000000,45,A11,[일반계정]_개인_생존
73,201203,1101112762668,0011320,푸본현대생명보험주식회사,185526451000,6709,A11,[일반계정]_개인_생존
74,201203,1101113003699,0011388,KB생명보험주식회사,2434957030000,63695,A11,[일반계정]_개인_생존
75,201203,1101112940751,0011434,라이나생명보험주식회사,0,0,A11,[일반계정]_개인_생존
76,201203,1101114390376,0012455,아이비케이연금보험 주식회사,1188815400000,26911,A11,[일반계정]_개인_생존
77,201203,1101114809377,0013173,농협생명보험주식회사,330018720000,11709,A11,[일반계정]_개인_생존
81,201203,1101110003204,0010593,한화생명보험주식회사,11279048342000,299996,A111,[일반계정]_개인_(연금보험)
82,201203,1101110007032,0010594,에이비엘생명보험주식회사,2265797310000,50186,A111,[일반계정]_개인_(연금보험)
83,201203,1101110005953,0010595,삼성생명보험주식회사,16609713099000,389007,A111,[일반계정]_개인_(연금보험)
84,201203,1101110018443,0010596,흥국생명보험주식회사,3916477552000,58840,A111,[일반계정]_개인_(연금보험)
85,201203,1101110014970,0010597,교보생명보험주식회사,10344407323000,280577,A111,[일반계정]_개인_(연금보험)
86,201203,1101110667498,0010599,신한생명보험주식회사,2333867952000,66167,A111,[일반계정]_개인_(연금보험)
87,201203,1801110078443,0010605,DGB생명보험주식회사,456648360000,8193,A111,[일반계정]_개인_(연금보험)
88,201203,2001110014608,0010607,케이디비생명보험주식회사,1110021530000,30618,A111,[일반계정]_개인_(연금보험)
89,201203,1601110014483,0010608,미래에셋생명보험주식회사,5993796930000,122814,A111,[일반계정]_개인_(연금보험)
90,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,211294106000,4270,A111,[일반계정]_개인_(연금보험)
91,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,768475540000,18056,A111,[일반계정]_개인_(연금보험)
92,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,3032385554000,72237,A111,[일반계정]_개인_(연금보험)
93,201203,1101110818463,0010618,하나생명보험주식회사,376695970000,8134,A111,[일반계정]_개인_(연금보험)
94,201203,1101110623606,0010619,DB생명보험주식회사,1182788326000,25756,A111,[일반계정]_개인_(연금보험)
95,201203,1101110631154,0010620,메트라이프생명보험(주),459460400000,11762,A111,[일반계정]_개인_(연금보험)
96,201203,1101110624688,0010622,동양생명보험주식회사,1836005753000,44583,A111,[일반계정]_개인_(연금보험)
97,201203,1101110705322,0010624,PCA생명보험주식회사,64448350000,2087,A111,[일반계정]_개인_(연금보험)
98,201203,1101110709232,0010625,처브라이프생명보험주식회사,29147880000,913,A111,[일반계정]_개인_(연금보험)
99,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,11628000000,45,A111,[일반계정]_개인_(연금보험)
100,201203,1101112762668,0011320,푸본현대생명보험주식회사,185526451000,6709,A111,[일반계정]_개인_(연금보험)
101,201203,1101113003699,0011388,KB생명보험주식회사,2434957030000,63695,A111,[일반계정]_개인_(연금보험)
102,201203,1101112940751,0011434,라이나생명보험주식회사,0,0,A111,[일반계정]_개인_(연금보험)
103,201203,1101114390376,0012455,아이비케이연금보험 주식회사,1188815400000,26911,A111,[일반계정]_개인_(연금보험)
104,201203,1101114809377,0013173,농협생명보험주식회사,330018720000,11709,A111,[일반계정]_개인_(연금보험)
108,201203,1101110003204,0010593,한화생명보험주식회사,19448173976000,616107,A12,[일반계정]_개인_사망
109,201203,1101110007032,0010594,에이비엘생명보험주식회사,5112871000000,82793,A12,[일반계정]_개인_사망
110,201203,1101110005953,0010595,삼성생명보험주식회사,53128934289000,803217,A12,[일반계정]_개인_사망
111,201203,1101110018443,0010596,흥국생명보험주식회사,12018852380000,546527,A12,[일반계정]_개인_사망
112,201203,1101110014970,0010597,교보생명보험주식회사,28635645156000,522489,A12,[일반계정]_개인_사망
113,201203,1101110667498,0010599,신한생명보험주식회사,19458039860000,2220282,A12,[일반계정]_개인_사망
114,201203,1801110078443,0010605,DGB생명보험주식회사,1281920200000,160066,A12,[일반계정]_개인_사망
115,201203,2001110014608,0010607,케이디비생명보험주식회사,7146821500000,166855,A12,[일반계정]_개인_사망
116,201203,1601110014483,0010608,미래에셋생명보험주식회사,6808489979000,165265,A12,[일반계정]_개인_사망
117,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,7546804530000,1587722,A12,[일반계정]_개인_사망
118,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,3383092000000,62532,A12,[일반계정]_개인_사망
119,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,8154302000000,143111,A12,[일반계정]_개인_사망
120,201203,1101110818463,0010618,하나생명보험주식회사,671002500000,10992,A12,[일반계정]_개인_사망
121,201203,1101110623606,0010619,DB생명보험주식회사,4462355500000,81600,A12,[일반계정]_개인_사망
122,201203,1101110631154,0010620,메트라이프생명보험(주),8319834000000,175782,A12,[일반계정]_개인_사망
123,201203,1101110624688,0010622,동양생명보험주식회사,17935560250000,787353,A12,[일반계정]_개인_사망
124,201203,1101110705322,0010624,PCA생명보험주식회사,938590000000,19196,A12,[일반계정]_개인_사망
125,201203,1101110709232,0010625,처브라이프생명보험주식회사,437846000000,11141,A12,[일반계정]_개인_사망
126,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,227270098000,4181,A12,[일반계정]_개인_사망
127,201203,1101112762668,0011320,푸본현대생명보험주식회사,1360859600000,28598,A12,[일반계정]_개인_사망
128,201203,1101113003699,0011388,KB생명보험주식회사,1353180000000,41345,A12,[일반계정]_개인_사망
129,201203,1101112940751,0011434,라이나생명보험주식회사,23536705400000,1511898,A12,[일반계정]_개인_사망
130,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,0,A12,[일반계정]_개인_사망
131,201203,1101114809377,0013173,농협생명보험주식회사,2505780000000,240947,A12,[일반계정]_개인_사망
135,201203,1101110003204,0010593,한화생명보험주식회사,7389079370000,406687,A121,[일반계정]_개인_(종신보험)
136,201203,1101110007032,0010594,에이비엘생명보험주식회사,2810845000000,45215,A121,[일반계정]_개인_(종신보험)
137,201203,1101110005953,0010595,삼성생명보험주식회사,21510645854000,403987,A121,[일반계정]_개인_(종신보험)
138,201203,1101110018443,0010596,흥국생명보험주식회사,6160215000000,71884,A121,[일반계정]_개인_(종신보험)
139,201203,1101110014970,0010597,교보생명보험주식회사,16296231421000,364678,A121,[일반계정]_개인_(종신보험)
140,201203,1101110667498,0010599,신한생명보험주식회사,6896771700000,126108,A121,[일반계정]_개인_(종신보험)
141,201203,1801110078443,0010605,DGB생명보험주식회사,757319000000,12060,A121,[일반계정]_개인_(종신보험)
142,201203,2001110014608,0010607,케이디비생명보험주식회사,2991431000000,60364,A121,[일반계정]_개인_(종신보험)
143,201203,1601110014483,0010608,미래에셋생명보험주식회사,1902980428000,42996,A121,[일반계정]_개인_(종신보험)
144,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,606735000000,11271,A121,[일반계정]_개인_(종신보험)
145,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,1088953000000,24858,A121,[일반계정]_개인_(종신보험)
146,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,4634438000000,91773,A121,[일반계정]_개인_(종신보험)
147,201203,1101110818463,0010618,하나생명보험주식회사,359570000000,2404,A121,[일반계정]_개인_(종신보험)
148,201203,1101110623606,0010619,DB생명보험주식회사,3993550000000,64872,A121,[일반계정]_개인_(종신보험)
149,201203,1101110631154,0010620,메트라이프생명보험(주),1023635000000,22174,A121,[일반계정]_개인_(종신보험)
150,201203,1101110624688,0010622,동양생명보험주식회사,2646945000000,43735,A121,[일반계정]_개인_(종신보험)
151,201203,1101110705322,0010624,PCA생명보험주식회사,299373000000,6967,A121,[일반계정]_개인_(종신보험)
152,201203,1101110709232,0010625,처브라이프생명보험주식회사,88734000000,2483,A121,[일반계정]_개인_(종신보험)
153,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,0,A121,[일반계정]_개인_(종신보험)
154,201203,1101112762668,0011320,푸본현대생명보험주식회사,1136324000000,19258,A121,[일반계정]_개인_(종신보험)
155,201203,1101113003699,0011388,KB생명보험주식회사,403940000000,5655,A121,[일반계정]_개인_(종신보험)
156,201203,1101112940751,0011434,라이나생명보험주식회사,0,0,A121,[일반계정]_개인_(종신보험)
157,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,0,A121,[일반계정]_개인_(종신보험)
158,201203,1101114809377,0013173,농협생명보험주식회사,129830000000,3916,A121,[일반계정]_개인_(종신보험)
162,201203,1101110003204,0010593,한화생명보험주식회사,3748727199000,90662,A13,[일반계정]_개인_생사혼합
163,201203,1101110007032,0010594,에이비엘생명보험주식회사,799839690000,46572,A13,[일반계정]_개인_생사혼합
164,201203,1101110005953,0010595,삼성생명보험주식회사,2184899080000,58887,A13,[일반계정]_개인_생사혼합
165,201203,1101110018443,0010596,흥국생명보험주식회사,2743047228000,124313,A13,[일반계정]_개인_생사혼합
166,201203,1101110014970,0010597,교보생명보험주식회사,1202565441000,27556,A13,[일반계정]_개인_생사혼합
167,201203,1101110667498,0010599,신한생명보험주식회사,5036586920000,224716,A13,[일반계정]_개인_생사혼합
168,201203,1801110078443,0010605,DGB생명보험주식회사,2540616196000,102388,A13,[일반계정]_개인_생사혼합
169,201203,2001110014608,0010607,케이디비생명보험주식회사,3263729015000,113189,A13,[일반계정]_개인_생사혼합
170,201203,1601110014483,0010608,미래에셋생명보험주식회사,839132401000,31524,A13,[일반계정]_개인_생사혼합
171,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,357507880000,24228,A13,[일반계정]_개인_생사혼합
172,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,211625000000,13530,A13,[일반계정]_개인_생사혼합
173,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,574109840000,31952,A13,[일반계정]_개인_생사혼합
174,201203,1101110818463,0010618,하나생명보험주식회사,560549200000,20082,A13,[일반계정]_개인_생사혼합
175,201203,1101110623606,0010619,DB생명보험주식회사,1060857410000,37170,A13,[일반계정]_개인_생사혼합
176,201203,1101110631154,0010620,메트라이프생명보험(주),1916332000000,133967,A13,[일반계정]_개인_생사혼합
177,201203,1101110624688,0010622,동양생명보험주식회사,4388747863000,207081,A13,[일반계정]_개인_생사혼합
178,201203,1101110705322,0010624,PCA생명보험주식회사,512094350000,26890,A13,[일반계정]_개인_생사혼합
179,201203,1101110709232,0010625,처브라이프생명보험주식회사,218062900000,7027,A13,[일반계정]_개인_생사혼합
180,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,610760840000,12013,A13,[일반계정]_개인_생사혼합
181,201203,1101112762668,0011320,푸본현대생명보험주식회사,1168948335000,34891,A13,[일반계정]_개인_생사혼합
182,201203,1101113003699,0011388,KB생명보험주식회사,810671940000,34654,A13,[일반계정]_개인_생사혼합
183,201203,1101112940751,0011434,라이나생명보험주식회사,29783880000,2333,A13,[일반계정]_개인_생사혼합
184,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,0,A13,[일반계정]_개인_생사혼합
185,201203,1101114809377,0013173,농협생명보험주식회사,371512040000,14472,A13,[일반계정]_개인_생사혼합
189,201203,1101110003204,0010593,한화생명보험주식회사,1446609221000,609141,A2,[일반계정]_단체
190,201203,1101110007032,0010594,에이비엘생명보험주식회사,1139350750000,106146,A2,[일반계정]_단체
191,201203,1101110005953,0010595,삼성생명보험주식회사,8042278168000,1061532,A2,[일반계정]_단체
192,201203,1101110018443,0010596,흥국생명보험주식회사,120991000000,7002,A2,[일반계정]_단체
193,201203,1101110014970,0010597,교보생명보험주식회사,4579807757000,162237,A2,[일반계정]_단체
194,201203,1101110667498,0010599,신한생명보험주식회사,378658350000,36615,A2,[일반계정]_단체
195,201203,1801110078443,0010605,DGB생명보험주식회사,3252458850000,475866,A2,[일반계정]_단체
196,201203,2001110014608,0010607,케이디비생명보험주식회사,2310684876000,206904,A2,[일반계정]_단체
197,201203,1601110014483,0010608,미래에셋생명보험주식회사,234761562000,15242,A2,[일반계정]_단체
198,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,3940588100000,50626,A2,[일반계정]_단체
199,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,0,0,A2,[일반계정]_단체
200,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,213230000000,5471,A2,[일반계정]_단체
201,201203,1101110818463,0010618,하나생명보험주식회사,154707000000,54194,A2,[일반계정]_단체
202,201203,1101110623606,0010619,DB생명보험주식회사,301163000000,9795,A2,[일반계정]_단체
203,201203,1101110631154,0010620,메트라이프생명보험(주),45557000000,663,A2,[일반계정]_단체
204,201203,1101110624688,0010622,동양생명보험주식회사,290255500000,18810,A2,[일반계정]_단체
205,201203,1101110705322,0010624,PCA생명보험주식회사,0,0,A2,[일반계정]_단체
206,201203,1101110709232,0010625,처브라이프생명보험주식회사,1200000000,24,A2,[일반계정]_단체
207,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,158576266000,4928,A2,[일반계정]_단체
208,201203,1101112762668,0011320,푸본현대생명보험주식회사,33240000000,1253,A2,[일반계정]_단체
209,201203,1101113003699,0011388,KB생명보험주식회사,81265000000,38933,A2,[일반계정]_단체
210,201203,1101112940751,0011434,라이나생명보험주식회사,0,0,A2,[일반계정]_단체
211,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,0,A2,[일반계정]_단체
212,201203,1101114809377,0013173,농협생명보험주식회사,0,0,A2,[일반계정]_단체
216,201203,1101110003204,0010593,한화생명보험주식회사,20865480276000,1216611,A3,[일반계정]_(보장성)
217,201203,1101110007032,0010594,에이비엘생명보험주식회사,6252221750000,188939,A3,[일반계정]_(보장성)
218,201203,1101110005953,0010595,삼성생명보험주식회사,61104691011000,1848191,A3,[일반계정]_(보장성)
219,201203,1101110018443,0010596,흥국생명보험주식회사,12139843380000,553529,A3,[일반계정]_(보장성)
220,201203,1101110014970,0010597,교보생명보험주식회사,33209450501000,684124,A3,[일반계정]_(보장성)
221,201203,1101110667498,0010599,신한생명보험주식회사,19836698210000,2256897,A3,[일반계정]_(보장성)
222,201203,1801110078443,0010605,DGB생명보험주식회사,4534379050000,635932,A3,[일반계정]_(보장성)
223,201203,2001110014608,0010607,케이디비생명보험주식회사,9457506376000,373759,A3,[일반계정]_(보장성)
224,201203,1601110014483,0010608,미래에셋생명보험주식회사,7038480979000,179935,A3,[일반계정]_(보장성)
225,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,11487392630000,1638348,A3,[일반계정]_(보장성)
226,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,3383092000000,62532,A3,[일반계정]_(보장성)
227,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,8367532000000,148582,A3,[일반계정]_(보장성)
228,201203,1101110818463,0010618,하나생명보험주식회사,825709500000,65186,A3,[일반계정]_(보장성)
229,201203,1101110623606,0010619,DB생명보험주식회사,4763518500000,91395,A3,[일반계정]_(보장성)
230,201203,1101110631154,0010620,메트라이프생명보험(주),8365391000000,176445,A3,[일반계정]_(보장성)
231,201203,1101110624688,0010622,동양생명보험주식회사,18225815750000,806163,A3,[일반계정]_(보장성)
232,201203,1101110705322,0010624,PCA생명보험주식회사,938590000000,19196,A3,[일반계정]_(보장성)
233,201203,1101110709232,0010625,처브라이프생명보험주식회사,439046000000,11165,A3,[일반계정]_(보장성)
234,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,385846364000,9109,A3,[일반계정]_(보장성)
235,201203,1101112762668,0011320,푸본현대생명보험주식회사,1394099600000,29851,A3,[일반계정]_(보장성)
236,201203,1101113003699,0011388,KB생명보험주식회사,1434445000000,80278,A3,[일반계정]_(보장성)
237,201203,1101112940751,0011434,라이나생명보험주식회사,23536705400000,1511898,A3,[일반계정]_(보장성)
238,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,0,A3,[일반계정]_(보장성)
239,201203,1101114809377,0013173,농협생명보험주식회사,2505780000000,240947,A3,[일반계정]_(보장성)
243,201203,1101110003204,0010593,한화생명보험주식회사,15057078462000,399295,A4,[일반계정]_(저축성)
244,201203,1101110007032,0010594,에이비엘생명보험주식회사,3065637000000,96758,A4,[일반계정]_(저축성)
245,201203,1101110005953,0010595,삼성생명보험주식회사,19034319685000,473362,A4,[일반계정]_(저축성)
246,201203,1101110018443,0010596,흥국생명보험주식회사,6659524780000,183153,A4,[일반계정]_(저축성)
247,201203,1101110014970,0010597,교보생명보험주식회사,11627180736000,313158,A4,[일반계정]_(저축성)
248,201203,1101110667498,0010599,신한생명보험주식회사,7388414072000,292370,A4,[일반계정]_(저축성)
249,201203,1801110078443,0010605,DGB생명보험주식회사,2997264556000,110581,A4,[일반계정]_(저축성)
250,201203,2001110014608,0010607,케이디비생명보험주식회사,4373750545000,143807,A4,[일반계정]_(저축성)
251,201203,1601110014483,0010608,미래에셋생명보험주식회사,6837699893000,154910,A4,[일반계정]_(저축성)
252,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,568801986000,28498,A4,[일반계정]_(저축성)
253,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,980100540000,31586,A4,[일반계정]_(저축성)
254,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,3606495394000,104189,A4,[일반계정]_(저축성)
255,201203,1101110818463,0010618,하나생명보험주식회사,937245170000,28216,A4,[일반계정]_(저축성)
256,201203,1101110623606,0010619,DB생명보험주식회사,2243645736000,62926,A4,[일반계정]_(저축성)
257,201203,1101110631154,0010620,메트라이프생명보험(주),2375792400000,145729,A4,[일반계정]_(저축성)
258,201203,1101110624688,0010622,동양생명보험주식회사,6224753616000,251664,A4,[일반계정]_(저축성)
259,201203,1101110705322,0010624,PCA생명보험주식회사,576542700000,28977,A4,[일반계정]_(저축성)
260,201203,1101110709232,0010625,처브라이프생명보험주식회사,247210780000,7940,A4,[일반계정]_(저축성)
261,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,622388840000,12058,A4,[일반계정]_(저축성)
262,201203,1101112762668,0011320,푸본현대생명보험주식회사,1354474786000,41600,A4,[일반계정]_(저축성)
263,201203,1101113003699,0011388,KB생명보험주식회사,3245628970000,98349,A4,[일반계정]_(저축성)
264,201203,1101112940751,0011434,라이나생명보험주식회사,29783880000,2333,A4,[일반계정]_(저축성)
265,201203,1101114390376,0012455,아이비케이연금보험 주식회사,1188815400000,26911,A4,[일반계정]_(저축성)
266,201203,1101114809377,0013173,농협생명보험주식회사,701530760000,26181,A4,[일반계정]_(저축성)
270,201203,1101110003204,0010593,한화생명보험주식회사,1030719540000,3064,B,[특별계정]
271,201203,1101110007032,0010594,에이비엘생명보험주식회사,0,0,B,[특별계정]
272,201203,1101110005953,0010595,삼성생명보험주식회사,1337117996000,345206,B,[특별계정]
273,201203,1101110018443,0010596,흥국생명보험주식회사,91864102000,34187,B,[특별계정]
274,201203,1101110014970,0010597,교보생명보험주식회사,1055931797000,1164845,B,[특별계정]
275,201203,1101110667498,0010599,신한생명보험주식회사,106572176000,9840,B,[특별계정]
276,201203,1801110078443,0010605,DGB생명보험주식회사,0,0,B,[특별계정]
277,201203,2001110014608,0010607,케이디비생명보험주식회사,38537266000,21609,B,[특별계정]
278,201203,1601110014483,0010608,미래에셋생명보험주식회사,733695087000,227926,B,[특별계정]
279,201203,1101116429884,0010615,에이아이에이생명보험 주식회사,0,0,B,[특별계정]
280,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,0,0,B,[특별계정]
281,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,60429698000,489,B,[특별계정]
282,201203,1101110818463,0010618,하나생명보험주식회사,7862422000,8693,B,[특별계정]
283,201203,1101110623606,0010619,DB생명보험주식회사,165943077000,66992,B,[특별계정]
284,201203,1101110631154,0010620,메트라이프생명보험(주),122623317000,33303,B,[특별계정]
285,201203,1101110624688,0010622,동양생명보험주식회사,97500390000,52067,B,[특별계정]
286,201203,1101110705322,0010624,PCA생명보험주식회사,0,0,B,[특별계정]
287,201203,1101110709232,0010625,처브라이프생명보험주식회사,0,0,B,[특별계정]
288,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,0,B,[특별계정]
289,201203,1101112762668,0011320,푸본현대생명보험주식회사,33917007000,2474,B,[특별계정]
290,201203,1101113003699,0011388,KB생명보험주식회사,0,0,B,[특별계정]
291,201203,1101112940751,0011434,라이나생명보험주식회사,0,0,B,[특별계정]
292,201203,1101114390376,0012455,아이비케이연금보험 주식회사,16954807000,1394,B,[특별계정]
293,201203,1101114809377,0013173,농협생명보험주식회사,0,0,B,[특별계정]
297,201203,1101110003204,0010593,한화생명보험주식회사,3621199000,216,B1,[특별계정]_퇴직보험
298,201203,1101110007032,0010594,에이비엘생명보험주식회사,0,0,B1,[특별계정]_퇴직보험
299,201203,1101110005953,0010595,삼성생명보험주식회사,17320864000,2043,B1,[특별계정]_퇴직보험
0,201206,1101110003204,0010593,한화생명보험주식회사,8467011447000,410542,A,[일반계정]
1,201206,1101110007032,0010594,에이비엘생명보험주식회사,2345271300000,64185,A,[일반계정]
