회사명,금융권,홈페이지,주소,전화번호
삼성생명보험주식회사,생보,www.samsunglife.com,서울 서초구 서초대로74길 11,02-1588-3114
키움증권(주),금융투자,www.kiwoom.com,서울 영등포구 여의나루로4길 18,02)3787-5000
하나금융투자(주),금융투자,www.hanaw.com,서울 영등포구 의사당대로 82,02-3771-7114
디비자산운용㈜,금융투자,www.db-asset.com,서울 영등포구 여의대로 24,02)787-3700
중소기업은행,은행,http://www.ibk.co.kr,서울 중구 을지로 79,02-729-6114
이지스자산운용주식회사,금융투자,www.igisam.com,서울 영등포구 여의공원로 115,02-6959-3100
에이스아메리칸화재해상보험주식회사 한국지점,손보,http://www.acegroup.com/kr-kr/,서울 종로구 종로1길 50,02-2127-2400
하나UBS자산운용(주),금융투자,http://www.ubs-hana.com,서울 영등포구 의사당대로 82,02-3771-7800
트러스톤자산운용(주),금융투자,www.trustonasset.com,서울 성동구 뚝섬로1길 10,02-6308-0500
제이티친애저축은행 주식회사,저축은행,http://www.jtchinae-bank.co.kr,서울 강남구 테헤란로 317,02-1544-9191
한국포스증권(주),금융투자,www.fosskorea.com,서울 영등포구 의사당대로 143,1644-1744
(주)키움예스저축은행,저축은행,http://www.kiwoomyesbank.com,서울 강남구 논현로 422,02  -558 -2501
㈜골든브릿지자산운용,금융투자,http://www.gbam.co.kr,서울 서대문구 충정로3가 50,02-360-9500
메트라이프생명보험(주),생보,www.metlife.co.kr,서울 강남구 테헤란로 316,1588-9600
(주)애큐온저축은행,저축은행,http://www.acuonsb.co.kr,서울 강남구 선릉로 514,1588-6161
(주)오성저축은행,저축은행,www.osungbank.co.kr,경북 구미시 역전로 8,054 -452 -7861
씨엘에스에이코리아증권(주),금융투자,www.clsa.com,서울 영등포구 국제금융로 10번지,02-397-8400
하나생명보험주식회사,생보,http://www.hanalife.co.kr,서울 중구 을지로 66,(02)3709-7300
광주은행,은행,http://www.kjbank.com,광주 동구 제봉로 225,062-239-5000
신한생명보험주식회사,생보,www.shinhanlife.co.kr,서울 중구 삼일대로 358,1588-5580
(주)스마트저축은행,저축은행,www.smartbank.co.kr,광주 동구 중앙로 199,062 -223 -2131
(주)인성저축은행,저축은행,www.insungsavingsbank.co.kr,인천 남구 경인로 339,032 -865 -3911
(주)케이비저축은행,저축은행,www.kbsavings.com,서울 송파구 송파대로 260,02-2146-8201
DB손해보험주식회사,손보,www.idbins.com,서울 강남구 테헤란로 432,1588-0100
(주)동양저축은행,저축은행,http://www.dysbank.com,광주 동구 중앙로 198,062 -720 -0800
하이투자증권주식회사,금융투자,www.hi-ib.com,부산 동래구 온천장로 121,1588-7171
삼성자산운용㈜,금융투자,www.samsungfund.com,서울 서초구 서초대로74길 11,02-3774-7600
삼성화재해상보험주식회사,손보,www.samsungfire.com,서울 서초구 서초대로74길 14,1588-5114
(주)부림저축은행,저축은행,www.bulimbank.co.kr,경기 안양시 만안구 장내로 124,031 -443 -3800
메트로은행,은행,http://www.metrobank.com.ph,서울 중구 소월로 10,02-779-2751
(주)키움저축은행,저축은행,www.kiwoombank.com,경기 부천시 부천로 157,1670-0077
(주)조흥저축은행,저축은행,www.chbank.net,경남 통영시 항남5길 9,055 -645 -4411
머스트삼일저축은행,저축은행,HTTP://SAMILBANK.CO.KR,경북 포항시 북구 장량로 154,054 -275 -4060
대신증권주식회사,금융투자,http://www.daishin.com,서울 중구 저동1가 48,1588-4488
NH저축은행(주),저축은행,http://www.nhsavingsbank.co.kr/,서울 강남구 역삼동 테헤란로 317,1588-5191
모간스탠리인터내셔날 증권회사 서울지점,금융투자,www.morganstanley.com,서울 종로구 새문안로 68,399-4848
DB금융투자 주식회사,금융투자,http://www.db-fi.com,서울 영등포구 국제금융로 8길 32,02-369-3000
키움투자자산운용주식회사,금융투자,www.kiwoomam.com,서울 영등포구 여의나루로4길 18,02-789-0300
경남은행,은행,http://www.knbank.co.kr/,경남 창원시 마산회원구 3·15대로 642,055-290-8000
(주)안다자산운용,금융투자,www.andaasset.com,서울 강남구 도산대로 318,02-2156-2800
유비에스증권 리미티드 서울지점,금융투자,www.ubs.com,서울 중구 세종대로 136,02-3702-8888
남양저축은행,저축은행,www.nybank.co.kr,경기 구리시 검배로 10,031 -566 -3300
(주)솔브레인저축은행,저축은행,http://www.soulbrainsb.co.kr,부산 연제구 중앙대로 1094,051 -861 -8600
(주)대한저축은행,저축은행,www.daehanbank.co.kr,광주 북구 금남로 128,062 -527 -5701
하우자산운용(주),금융투자,www.howasset.com,서울 강남구 테헤란로 223,02-2050-4700
엠플러스자산운용(주),금융투자,http://www.mplusasset.co.kr,서울 강남구 남부순환로 2806,02-6007-4700
미즈호,은행,http://www.mizuhobank.com,서울 중구 세종대로 136,02-3782-8500
대원상호저축은행,저축은행,http://www.d-banks.co.kr,경북 경주시 북문로 126,054-773-2222
KB증권주식회사,금융투자,www.kbsec.com,서울 영등포구 여의나루로 50,6114-0114
(주)대백저축은행,저축은행,http://www.debecbank.co.kr,대구 수성구 달구벌대로 2382-1,053-742-3301
스타저축은행,저축은행,www.estarbank.co.kr,전북 전주시 덕진구 팔달로 320,063 -277 -1311
(주)센트럴저축은행,저축은행,http://www.centralbank.co.kr,광주 동구 금남로 167,062 -224 -4010
교보생명보험주식회사,생보,WWW.KYOBO.CO.KR,서울 종로구 종로 1,721-21213131
교보라이프플래닛생명보험 주식회사,생보,www.lifeplanet.co.kr,서울 영등포구 국제금융로 6길 11,02-6020-8000
신한은행,은행,http://www.shinhan.com/,서울 중구 세종대로9길 20,02-756-0506
미래에셋자산운용(주),금융투자,investments.miraeasset.com,서울 종로구 종로 33,02-1577-1640
(주)유니온저축은행,저축은행,www.kusb.co.kr,대구 중구 달구벌대로 2210,053 -256 -4000
비앤피파리바카디프손해보험주식회사,손보,http://www.cardifcare.co.kr/,서울 중구 삼일대로 358,02-1544-2580
(주)예가람저축은행,저축은행,www.yegaramsb.co.kr,서울 강남구 테헤란로 419,02-6906-7001
롯데손해보험주식회사,손보,www.lotteins.co.kr,서울 중구 소월로 3,02-3455-3114
미래에셋증권 주식회사,금융투자,http://securities.miraeasset.com,서울 중구 을지로5길 26,02-3774-1700
케이디비생명보험주식회사,생보,www.kdblife.co.kr,서울 용산구 한강대로 372,02-6303-5000
하나은행,은행,http://www.kebhana.com,서울 중구 을지로 35,02-2002-1111
드림저축은행,저축은행,www.dreamsb.com,대구 중구 국채보상로 645,053 -663 -5000
부국증권(주),금융투자,www.bookook.co.kr,서울 영등포구 국제금융로6길 17,368-9200
메리츠자산운용㈜,금융투자,www.meritzam.com,서울 종로구 북촌로 104,02-6320-3000
(주)상상인플러스저축은행,저축은행,www.sangsanginplussb.com,충남 천안시 서북구 불당21로 67-12,1600-2100
(주)오투저축은행,저축은행,www.o2banking.com,대전 서구 둔산남로 103,-1683
케이알투자증권(주),금융투자,www.krsec.co.kr,서울 영등포구 여의나루로 57,02-2168-7400
(주)삼호저축은행,저축은행,http://www.samhosb.co.kr,전북 전주시 완산구 현무2길 70,063 -900 -2000
아이비케이연금보험주식회사,생보,http://www.ibki.co.kr,서울 중구 칠패로 37,02-2270-1600
제이피모건체이스,은행,http://www.jpmorgan.com/,서울 중구 서소문로11길,02-758-5114
대구은행,은행,https://www.dgb.co.kr,대구 수성구 달구벌대로 2310,053-755-8760
중국공상은행,은행,http://www.icbc.co.kr/,서울 중구 세종대로73,02-755-5688
칸서스자산운용주식회사,금융투자,www.consus.co.kr,서울 영등포구 국제금융로8길,02-2077-5000
(주)동원제일저축은행,저축은행,http://www.dongwonjeilbank.kr,부산 연제구 연제로 30,1544-8811
(주)인천저축은행,저축은행,www.incheonbank.com,인천 미추홀구 경인로 473,032-421-2111
케이프투자증권 주식회사 (비상장),금융투자,http://www.capefn.com,서울 영등포구 국제금융로2길 25,02-6923-7000
제이비자산운용주식회사,금융투자,www.jbam.co.kr,전북 전주시 덕진구 백제대로 566,02-3782-5000
아이비케이자산운용(주),금융투자,http://www.ibkasset.com,서울 영등포구 은행로30,02-727-8800
씨지에스 씨아이엠비증권 홍콩 한국지점,금융투자,해당사항없음,서울 종로구 새문안로 82,02-6730-6000
에이아이에이생명보험 주식회사,생보,www.aia.co.kr,서울 중구 통일로 2길 16,02-3707-4761
오에스비저축은행,저축은행,www.osb.co.kr,서울 서초구 서초중앙로 203,1644-0052
브레인자산운용주식회사,금융투자,http://www.brainib.com,서울 영등포구 여의대로 70,02-6277-5000
주식회사 신한저축은행,저축은행,www.shinhansavings.com,서울 중구 청계천로 54,1644-7777
에이비엘생명보험 주식회사,생보,www.abllife.co.kr,서울 영등포구 여의도동 45-21,02-3787-7000
야마구찌은행,은행,http://yamaguchibank.dga.jp,부산 중구 중앙대로 63,051-462-3281
(주)안양저축은행,저축은행,www.anyangbank.co.kr,경기 안양시 만안구 안양1동 622-218,031-463-7816
주식회사 코람코자산운용,금융투자,www.koramcofund.co.kr,서울 강남구 삼성로 511,02-787-0101
흥국증권주식회사,금융투자,www.heungkuksec.co.kr,서울 종로구 새문안로 68,(02)6742-3600
(주)리치먼드자산운용,금융투자,www.richmondam.com,서울 영등포구 63로 50,02-6276-3000
(주)한국투자저축은행,저축은행,www.kisb.co.kr,경기 성남시 분당구 서현동 184,1577-6333
(주)대아상호저축은행,저축은행,www.daeabank.com,경북 포항시 북구 중흥로 321,054 -274 -4111
엔에이치아문디자산운용 주식회사,금융투자,www.nh-amundi.com,서울 영등포구 국제금융로8길 2,02-368-3600
(주)BNK투자증권,금융투자,www.bnkfn.co.kr,부산 부산진구 새싹로1,051-669-8000
신영증권주식회사,금융투자,www.shinyoung.com,서울 영등포구 국제금융로 8길 16,2004-9000
KTB자산운용(주),금융투자,www.i-ktb.com,서울 영등포구 여의대로 66,02-788-8400
(주)한성저축은행,저축은행,www.hansungbank.co.kr,충북 옥천군 옥천읍 중앙로 32,043 -730 -0500
악사손해보험(주),손보,www.axa.co.kr,서울 용산구 한강대로 71길 4 ,3479-4924
대화(UOB)은행,은행,http://www.uobgroup.com,서울 중구 세종대로 136,02-739-3916
한화생명보험주식회사,생보,WWW.HANWHALIFE.COM,서울 영등포구 63로 50,1588-6363
퍼스트어메리칸권원보험㈜한국지점,손보,www.firstam.co.kr,서울 마포구 마포대로4다길 41,02-3144-2460
DB생명보험(주),생보,http://www.idblife.com,서울 강남구 테헤란로 432,1588-3131
메리츠화재해상보험㈜,손보,http://www.meritzfire.com,서울 강남구 역삼동 825-2,02)3786-2114
(주)금화저축은행,저축은행,kuemhwabank.co.kr,인천 부평구 부흥로 307,032 -526 -6000
케이비자산운용(주),금융투자,www.kbam.co.kr,서울 영등포구 국제금융로 10,02-2167-8200
서울보증보험㈜,손보,www.sgic.co.kr,서울 종로구 김상옥로 29,16707000
엠지손해보험주식회사,손보,www.mggeneralins.com,서울 강남구 테헤란로 335,02-3788-2000
(주)스카이저축은행,저축은행,www.skysb.co.kr,서울 강남구 학동로 103,02  -3485-4100
세람저축은행,저축은행,www.serambank.co.kr,경기 이천시 중리천로 50,031 -633 -6781
홍콩상하이증권 서울지점,금융투자,www.hsbc.com,서울 중구 칠패로 37,02-3706-8700
(주)안국저축은행,저축은행,www.angukbank.co.kr,경기 파주시 금정20길 22,031 - 941 - 7271
현대차증권주식회사,금융투자,http://www.hmsec.com,서울 영등포구 국제금융로 2길 28,02-3787-2114
(주)민국저축은행,저축은행,www.mkb.co.kr,서울 중구 퇴계로 234,02  -2271-0071
노무라금융투자주식회사,금융투자,www.nomura.com,서울 중구 세종대로 136,02-3783-2000
SK증권주식회사,금융투자,www.sks.co.kr,서울 영등포구 국제금융로8길 31,02-3773-8245
전북은행,은행,http://www.jbbank.co.kr/,전북 전주시 덕진구 백제대로 566,063-250-7114
신영자산운용주식회사,금융투자,www.syfund.co.kr,서울 영등포구 국제금융로8길 6,02-6711-7500
미래에셋생명보험주식회사,생보,http://life.miraeasset.com,서울 영등포구 국제금융로 56,02-1588-0220
한국에스지증권주식회사,금융투자,www.sgcib.com,서울 종로구 종로3길 17,02-2195-7777
삼성증권 주식회사,금융투자,www.samsungpop.com,서울 서초구 서초대로74길 11,02-2020-8000
케이비생명보험주식회사,생보,www.kblife.co.kr,서울 영등포구 국제금융로2길 28,02-398-6800
주식회사 비엔케이저축은행,저축은행,www.bnksb.com,부산 동구 범일로 92,1644-9988
모간스탠리은행,은행,http://www.morganstanley.com/,서울 종로구 새문안로 68,02-3275-4501
코리아에셋투자증권(주),금융투자,www.kasset.co.kr,서울 영등포구 여의나루로 57,02-550-6200
(주)흥국저축은행,저축은행,www.hkbanking.co.kr,부산 연제구 중앙대로 1076,051-925-2100
아이비케이투자증권주식회사 (IBK SECURITIES CO. LTD),금융투자,http://www.ibks.com,서울 영등포구 국제금융로 6길 11,1588-0030
(주)IBK저축은행,저축은행,www.ibksb.co.kr,부산 부산진구 중앙대로 735,051 -791 -4300
우리자산운용,금융투자,www.wooriam.kr,서울 영등포구 국제금융로2길 32,02-3770-1300
(주)참저축은행,저축은행,www.charmbank.co.kr,대구 수성구 달구벌대로 2421,053 -720 -7300
우리저축은행,저축은행,https://www.wooleebank.co.kr,부산 부산진구 중앙대로 723,051 -811 -9400
합자회사 영진저축은행,저축은행,www.yjbank.co.kr,경기 부천시 부일로 472,032 -651 -2121
라이나생명보험(주),생보,http://www.lina.co.kr,서울 종로구 삼봉로 48번지,02) 3781-1000
교보악사자산운용(주),금융투자,www.kyoboaxa-im.co.kr,서울 종로구 종로 1가 1번지,02-767-9600
우리은행,은행,http://www.wooribank.com/,서울 중구 소공로 51,02-2002-3000
한국산업은행,은행,http://www.kdb.co.kr/,서울 영등포구 은행로 14,02-787-4000
유리자산운용(주),금융투자,www.yurieasset.co.kr,서울 영등포구 국제금융로 6길 17,02-2168-7900
우리금융저축은행,저축은행,www.woorisavingsbank.com,충북 청주시 상당구 남사로 135,043 -279 -9100
상상인저축은행,저축은행,www.sangsanginsb.com,경기 성남시 분당구 황새울로 358,031 -698 -8200
한국증권금융㈜,금융투자,www.ksfc.co.kr,서울 영등포구 국제금융로8길 10,02-3770-8800
유안타저축은행(주),저축은행,www.yuantasavings.co.kr,서울 강남구 강남대로 542,02-6022-3700
(주)진주저축은행,저축은행,http://www.jinjubank.net,경남 진주시 진양호로 532,055 -740 -0100
NH선물(주),금융투자,www.futures.co.kr,서울 영등포구 국제금융로8길 2,1588-4280
골드만삭스증권회사 서울지점,금융투자,-,서울 종로구 새문안로68,02-3788-1000
(주)대명상호저축은행,저축은행,www.daemyungbank.co.kr,충북 제천시 의림대로 137,043 -640 -5000
융창저축은행,저축은행,www.ycbank.co.kr www.ycsavingsbank.co.kr,경기 광명시 철산로 5,02-2685-0001
우리종합금융㈜,종금,www.wooriib.com,광주 동구 금남로 182,062 - 221 - 6600
디에스투자증권 주식회사(비상장),금융투자,www.ds-sec.co.kr,서울 영등포구 여의대로 66,02) 709-2300
DGB자산운용(주),금융투자,www.dgbam.com,서울 영등포구 의사당대로 97,02-707-4200
교보증권주식회사,금융투자,http://www.iprovest.com,서울 영등포구 의사당대로 97,02-3771-9000
비엔피파리바카디프생명보험주식회사,생보,www.cardif.co.kr,서울 중구 남대문로 5가 581,02-3788-8800
크레디 아그리콜 코퍼레이트 앤 인베스트먼트 뱅크,은행,http://www.ca-cib.com/,서울 종로구 종로 1,02-3700-9500
제주은행,은행,http://www.e-jejubank.com/,제주 제주시 오현길 90,064-720-0200
BNP파리바,은행,http://www.bnpparibas.co.kr/kr/,서울 중구 퇴계로 100,02-317-1700
한국투자밸류자산운용주식회사,금융투자,vam.koreainvestment.com,서울 영등포구 여의대로 70,02-6978-6300
주식회사 한국스탠다드차타드증권(비상장),금융투자,http://www.standardcharteredsecurities.co.kr,서울 종로구 종로 47,3703-5000
주식회사 상상인증권,금융투자,www.sangsanginib.com,서울 강남구 테헤란로 424,02-3779-3000
인도네시아느가라은행 서울지점,은행,http://www.bni.co.id/en-us/globalnetworks/bniseoul,서울 중구 세종대로 17,02-6386-8646
유바프,은행,http://www.ubaf.fr/PG/Network_Seoul.asp,서울 중구 통일로 92,02-3455-5300
맥쿼리증권주식회사,금융투자,www.macquarie.com,서울 종로구 우정국로 26,3705-8500
중국농업은행주식유한회사,은행,http://www.kr.abchina.com/kr/default.htm,서울 중구 세종대로 136,02-3788-3900
한국아이엠씨 주식회사,금융투자,www.imc.com,서울 영등포구 여의대로 24,220701500
이베스트투자증권주식회사,금융투자,http://www.ebestsec.co.kr,서울 영등포구 여의나루로 60,02-3779-0100
크레디트스위스증권 서울지점,금융투자,www.credit-suisse.com,서울 종로구 우정국로 26,02-3707-3700
유안타증권(주),금융투자,www.yuantakorea.com,서울 중구 을지로 76,02-3770-2000
제이피모간 증권회사 서울지점,금융투자,www.jpmorgan.co.kr,서울 중구 서소문로11길 35,758-5700
토스증권 주식회사,금융투자,http://tossinvest.com,서울 강남구 테헤란로 134,1599-7987
대신저축은행,저축은행,bank.daishin.com,서울 중구 삼일대로 343,02-519-5000
엔 에 이 치 투 자 증 권,금융투자,http://www.nhqv.com,서울 영등포구 여의대로 108,1544-0000
페퍼저축은행,저축은행,www.pepperbank.kr,경기 성남시 분당구 황새울로 340,1599-0722
멀티에셋자산운용(주)(비상장),금융투자,http://multiasset.miraeasset.com/,서울 영등포구 국제금융로 56,02-3774-8000
(주)SBI저축은행;,저축은행,http://www.sbisb.co.kr;,서울 중구 을지로5길 26,02-1566-2210;
(주)DH저축은행,저축은행,www.dhsavingsbank.co.kr,부산 부산진구 중앙대로 935,051 -867 -7701
크레디트스위스,은행,https://www.credit-suisse.com/kr/ko.html,서울 종로구 우정국로 26,02-3707-3800
케이티비투자증권주식회사,금융투자,http://www.ktb.co.kr,서울 영등포구 여의나루로 60,02-2184-2000
대신자산운용(주),금융투자,asset.daishin.com,서울 중구 삼일대로 343,02-769-3449
토스뱅크 주식회사,은행,,서울 강남구 테헤란로 131,
노바스코셔은행,은행,https://www.scotiabank.com/global/en/country/republic-of-korea.html,서울 종로구 세종로139,02-2020-2340
하나손해보험주식회사,손보,www.educar.co.kr,서울 종로구 창경궁로 117,02-6670-8100
주식회사 카카오페이증권 (비상장),금융투자,www.kakaopaysec.com,경기 성남시 분당구 판교역로146번길 20,1600-8515
씨티그룹글로벌마켓증권 주식회사,금융투자,www.citigroup.com,서울 종로구 새문안로 50,3705-0600
메리츠증권주식회사,금융투자,http://home.imeritz.com,서울 영등포구 국제금융로 10,02) 758-6611
한국투자신탁운용(주),금융투자,http://kim.koreainvestment.com/,서울 영등포구 여의대로 24,02-2055-5555
(주)씨케이저축은행,저축은행,http://www.cksavingsbank.co.kr,강원 춘천시 금강로 40,033 -252 -8411
(주)에스앤티저축은행,저축은행,www.hisntm.com,경남 창원시 성산구 중앙대로 85,055-222-8100
소시에테제네랄,은행,www.sg-structuredproducts.com,서울 종로구 종로3길 17,02-2195-7777
마이다스에셋자산운용(주),금융투자,www.midasasset.com,서울 종로구 경희궁길 20,02-3787-3500
(주)삼정저축은행,저축은행,www.samjungsavingsbank.co.kr,경기 하남시 미사강변대로 208,031 -791 -6411
아이엔지증권 서울지점,금융투자,www.ing.com,서울 중구 세종대로 136,02-317-1800
비엔케이자산운용,금융투자,www.bnkasset.co.kr,서울 영등포구 국제금융로2길 32,02-6910-1100
유진투자증권(상장),금융투자,www.eugenefn.com,서울 영등포구 국제금융로 24,02-368-6000
푸본현대생명보험주식회사,생보,www.fubonhyundai.com,서울 영등포구 여의나루로 57,6940-5350
메릴린치인터내셔날엘엘씨증권 서울지점,금융투자,http://www.bankofamerica.com,서울 중구 세종대로 136,02-3707-0400
엠에스상호저축은행,저축은행,www.mssb.co.kr,대구 수성구 달구벌대로 2532,053 -756 -5200
초상증권한국 주식회사,금융투자,없음,서울 영등포구 국제금융로 10,(02)6292-4000
뉴욕멜론은행,은행,https://www.bnymellon.com,서울 영등포구 국제금융로 10,02-6137-0001
중국은행,은행,http://www.bankofchina.com/kr/kr,서울 서린동 33번지,02-399-6699
현대자산운용주식회사,금융투자,www.hyundaiam.com,서울 영등포구 여의대로 24,02-2090-0500
캐롯손해보험주식회사,손보,www.carrotins.com,서울 중구 을지로 100,02-1566-0300
처브라이프생명보험주식회사,생보,https://www.chubblife.co.kr,서울 강남구 테헤란로 322,2107-4600
교통은행,은행,http://www.bankcomm.co.kr/,서울 중구 을지로 29,02-2022-6888
주식회사 케이뱅크은행,은행,http://www.kbanknow.com,서울 종로구 종로1길 50,02-3210-7019
웰컴저축은행 주식회사,저축은행,www.welcomebank.co.kr,서울 구로구 디지털로 300,02-1661-0001
중국건설은행,은행,http://kr.ccb.com/seoul/en/index.html,서울 중구 명동11길 24,02-6730-3600
미쓰이스미토모해상화재보험㈜한국지점,손보,http://www.ms-ins.co.kr/,서울 중구 을지로5길 26,02-3702-5800
노던트러스트컴퍼니 서울지점,은행,https://www.northerntrust.com,서울 중구 을지로5길 26,02-6222-6200
알리안츠글로벌코퍼레이트앤스페셜티에스이한국지점,손보,http://www.agcs.allianz.com/ko/global-offices/agcs-south-korea/,서울 중구 세종대로 136,02-6940-4702
(주)하나저축은행,저축은행,http://www.hanasavings.com,서울 강남구 테헤란로 127,1899-1122
브이아이자산운용(주),금융투자,www.viamc.kr,서울 영등포구 국제금융로 10,02-727-2700
저축은행중앙회,저축은행,http://www.fsb.or.kr/,서울 종로구 새문안로 5길 37,02-3978-600
호주뉴질랜드,은행,http://institutional.anz.com/markets/korea/en,서울 영등포구 국제금융로 10,02-3700-3100
뱅크오브아메리카은행,은행,http://www.bankofamerica.com/,서울 중구 세종대로 136,02-788-1401
유진자산운용 주식회사,금융투자,www.fund.eugenefn.com,서울 영등포구 여의대로 108,02-2129-3300
(주)ES저축은행,저축은행,www.essb.co.kr,서울 강남구 강남대로 556,1833-8889
맥쿼리투자신탁운용주식회사,금융투자,www.macquarie.com,서울 종로구 우정국로 26,02-3703-9800
스테이트 뱅크 오브 인디아 서울지점,은행,www.sbiseoul.com,서울 종로구 종로 1,02-720-9810
농협은행주식회사,은행,http://banking.nonghyup.com,서울 중구 통일로 120,02-2080-5114
미쓰이스미토모은행,은행,http://www.smbcgroup.com/,서울 중구 을지로5길 26,02-6364-7000
주식회사 카카오뱅크,은행,http://www.kakaobank.com,경기 성남시 분당구 판교역로 231,02-6288-6000
파키스탄국립은행,은행,http://www.sbp.org.pk/,서울 종로구 종로 1,02-732-0277
도이치은행,은행,https://www.db.com/korea/kr/content/company.html,서울 종로구 청계천로 41,02-724-4500
홍콩상하이은행,은행,https://www.hsbc.co.kr/ko-kr,서울 중구 칠패로 37,02-2004-0123
(주)오케이저축은행,저축은행,http://www.oksavingsbank.com,서울 중구 세종대로39,02  -6206-0300
한국씨티은행,은행,http://www.citibank.co.kr,서울 종로구 새문안로 50,02-3455-2114
한화자산운용(주),금융투자,www.hanwhafund.com,서울 영등포구 63로 50,02-6950-0000
(주)평택상호저축은행,저축은행,http://www.ptbank.co.kr,경기 평택시 평택1로 23,(031) 659-3300
리딩투자증권 주식회사,금융투자,www.leading.co.kr,서울 영등포구 국제금융로8길 27-8,02-2009-7000
중국광대은행주식유한회사 서울지점,은행,www.kr.cebbank.com,서울 종로구 청계천로 41,02-3788-3700
국민은행,은행,https://www.kbstar.com/,서울 영등포구 국제금융로 8길 26,02-2073-7114
OCBC,은행,http://www.ocbc.com/group/group-home.html,서울 중구 세종대로 136,02-2021-3900
다스법률비용보험주식회사,손보,www.das.co.kr,서울 강남구 테헤란로507,02-3448-1816
알파자산운용 주식회사,금융투자,www.alphasset.com,서울 영등포구 국제금융로8길,02)769-7600
