,날짜,법인등록번호,고유번호,기업명,직원수,직급구분,직급
172,201203,1101110633712,0010616,푸르덴셜생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
173,201203,1101110803092,0010617,오렌지라이프생명보험 주식회사,0,B2,등록 설계사_교차모집 설계사
174,201203,1101110818463,0010618,하나생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
175,201203,1101110623606,0010619,DB생명보험주식회사,1791,B2,등록 설계사_교차모집 설계사
176,201203,1101110631154,0010620,메트라이프생명보험(주),0,B2,등록 설계사_교차모집 설계사
177,201203,1101110624688,0010622,동양생명보험주식회사,203,B2,등록 설계사_교차모집 설계사
178,201203,1101110705322,0010624,PCA생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
179,201203,1101110709232,0010625,처브라이프생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
180,201203,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
181,201203,1101112762668,0011320,푸본현대생명보험주식회사,4,B2,등록 설계사_교차모집 설계사
182,201203,1101113003699,0011388,KB생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
183,201203,1101112940751,0011434,라이나생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
184,201203,1101114390376,0012455,아이비케이연금보험 주식회사,0,B2,등록 설계사_교차모집 설계사
185,201203,1101114809377,0013173,농협생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
0,201206,1101110003204,0010593,한화생명보험주식회사,4337,A,임직원
1,201206,1101110007032,0010594,에이비엘생명보험주식회사,1673,A,임직원
2,201206,1101110005953,0010595,삼성생명보험주식회사,6427,A,임직원
3,201206,1101110018443,0010596,흥국생명보험주식회사,515,A,임직원
4,201206,1101110014970,0010597,교보생명보험주식회사,4648,A,임직원
5,201206,1101110667498,0010599,신한생명보험주식회사,1368,A,임직원
6,201206,1801110078443,0010605,DGB생명보험주식회사,345,A,임직원
7,201206,2001110014608,0010607,케이디비생명보험주식회사,869,A,임직원
8,201206,1601110014483,0010608,미래에셋생명보험주식회사,1433,A,임직원
9,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,642,A,임직원
10,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,522,A,임직원
11,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,1053,A,임직원
12,201206,1101110818463,0010618,하나생명보험주식회사,244,A,임직원
13,201206,1101110623606,0010619,DB생명보험주식회사,545,A,임직원
14,201206,1101110631154,0010620,메트라이프생명보험(주),641,A,임직원
15,201206,1101110624688,0010622,동양생명보험주식회사,759,A,임직원
16,201206,1101110705322,0010624,PCA생명보험주식회사,388,A,임직원
17,201206,1101110709232,0010625,처브라이프생명보험주식회사,247,A,임직원
18,201206,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,145,A,임직원
19,201206,1101112762668,0011320,푸본현대생명보험주식회사,455,A,임직원
20,201206,1101113003699,0011388,KB생명보험주식회사,293,A,임직원
21,201206,1101112940751,0011434,라이나생명보험주식회사,647,A,임직원
22,201206,1101114390376,0012455,아이비케이연금보험 주식회사,108,A,임직원
23,201206,1101114809377,0013173,농협생명보험주식회사,761,A,임직원
27,201206,1101110003204,0010593,한화생명보험주식회사,8,A1,임직원_임원
28,201206,1101110007032,0010594,에이비엘생명보험주식회사,6,A1,임직원_임원
29,201206,1101110005953,0010595,삼성생명보험주식회사,9,A1,임직원_임원
30,201206,1101110018443,0010596,흥국생명보험주식회사,7,A1,임직원_임원
31,201206,1101110014970,0010597,교보생명보험주식회사,9,A1,임직원_임원
32,201206,1101110667498,0010599,신한생명보험주식회사,7,A1,임직원_임원
33,201206,1801110078443,0010605,DGB생명보험주식회사,9,A1,임직원_임원
34,201206,2001110014608,0010607,케이디비생명보험주식회사,9,A1,임직원_임원
35,201206,1601110014483,0010608,미래에셋생명보험주식회사,9,A1,임직원_임원
36,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,1,A1,임직원_임원
37,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,7,A1,임직원_임원
38,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,6,A1,임직원_임원
39,201206,1101110818463,0010618,하나생명보험주식회사,8,A1,임직원_임원
40,201206,1101110623606,0010619,DB생명보험주식회사,5,A1,임직원_임원
41,201206,1101110631154,0010620,메트라이프생명보험(주),5,A1,임직원_임원
42,201206,1101110624688,0010622,동양생명보험주식회사,9,A1,임직원_임원
43,201206,1101110705322,0010624,PCA생명보험주식회사,6,A1,임직원_임원
44,201206,1101110709232,0010625,처브라이프생명보험주식회사,5,A1,임직원_임원
45,201206,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,8,A1,임직원_임원
46,201206,1101112762668,0011320,푸본현대생명보험주식회사,8,A1,임직원_임원
47,201206,1101113003699,0011388,KB생명보험주식회사,8,A1,임직원_임원
48,201206,1101112940751,0011434,라이나생명보험주식회사,6,A1,임직원_임원
49,201206,1101114390376,0012455,아이비케이연금보험 주식회사,3,A1,임직원_임원
50,201206,1101114809377,0013173,농협생명보험주식회사,7,A1,임직원_임원
54,201206,1101110003204,0010593,한화생명보험주식회사,46,A2,임직원_이사대우
55,201206,1101110007032,0010594,에이비엘생명보험주식회사,22,A2,임직원_이사대우
56,201206,1101110005953,0010595,삼성생명보험주식회사,78,A2,임직원_이사대우
57,201206,1101110018443,0010596,흥국생명보험주식회사,12,A2,임직원_이사대우
58,201206,1101110014970,0010597,교보생명보험주식회사,43,A2,임직원_이사대우
59,201206,1101110667498,0010599,신한생명보험주식회사,20,A2,임직원_이사대우
60,201206,1801110078443,0010605,DGB생명보험주식회사,5,A2,임직원_이사대우
61,201206,2001110014608,0010607,케이디비생명보험주식회사,12,A2,임직원_이사대우
62,201206,1601110014483,0010608,미래에셋생명보험주식회사,49,A2,임직원_이사대우
63,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,31,A2,임직원_이사대우
64,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,18,A2,임직원_이사대우
65,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,35,A2,임직원_이사대우
66,201206,1101110818463,0010618,하나생명보험주식회사,3,A2,임직원_이사대우
67,201206,1101110623606,0010619,DB생명보험주식회사,9,A2,임직원_이사대우
68,201206,1101110631154,0010620,메트라이프생명보험(주),19,A2,임직원_이사대우
69,201206,1101110624688,0010622,동양생명보험주식회사,13,A2,임직원_이사대우
70,201206,1101110705322,0010624,PCA생명보험주식회사,20,A2,임직원_이사대우
71,201206,1101110709232,0010625,처브라이프생명보험주식회사,6,A2,임직원_이사대우
72,201206,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,7,A2,임직원_이사대우
73,201206,1101112762668,0011320,푸본현대생명보험주식회사,10,A2,임직원_이사대우
74,201206,1101113003699,0011388,KB생명보험주식회사,6,A2,임직원_이사대우
75,201206,1101112940751,0011434,라이나생명보험주식회사,24,A2,임직원_이사대우
76,201206,1101114390376,0012455,아이비케이연금보험 주식회사,4,A2,임직원_이사대우
77,201206,1101114809377,0013173,농협생명보험주식회사,2,A2,임직원_이사대우
81,201206,1101110003204,0010593,한화생명보험주식회사,4283,A3,임직원_직원
82,201206,1101110007032,0010594,에이비엘생명보험주식회사,1645,A3,임직원_직원
83,201206,1101110005953,0010595,삼성생명보험주식회사,6340,A3,임직원_직원
84,201206,1101110018443,0010596,흥국생명보험주식회사,496,A3,임직원_직원
85,201206,1101110014970,0010597,교보생명보험주식회사,4596,A3,임직원_직원
86,201206,1101110667498,0010599,신한생명보험주식회사,1341,A3,임직원_직원
87,201206,1801110078443,0010605,DGB생명보험주식회사,331,A3,임직원_직원
88,201206,2001110014608,0010607,케이디비생명보험주식회사,848,A3,임직원_직원
89,201206,1601110014483,0010608,미래에셋생명보험주식회사,1375,A3,임직원_직원
90,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,610,A3,임직원_직원
91,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,497,A3,임직원_직원
92,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,1012,A3,임직원_직원
93,201206,1101110818463,0010618,하나생명보험주식회사,233,A3,임직원_직원
94,201206,1101110623606,0010619,DB생명보험주식회사,531,A3,임직원_직원
95,201206,1101110631154,0010620,메트라이프생명보험(주),617,A3,임직원_직원
96,201206,1101110624688,0010622,동양생명보험주식회사,737,A3,임직원_직원
97,201206,1101110705322,0010624,PCA생명보험주식회사,362,A3,임직원_직원
98,201206,1101110709232,0010625,처브라이프생명보험주식회사,236,A3,임직원_직원
99,201206,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,130,A3,임직원_직원
100,201206,1101112762668,0011320,푸본현대생명보험주식회사,437,A3,임직원_직원
101,201206,1101113003699,0011388,KB생명보험주식회사,279,A3,임직원_직원
102,201206,1101112940751,0011434,라이나생명보험주식회사,617,A3,임직원_직원
103,201206,1101114390376,0012455,아이비케이연금보험 주식회사,101,A3,임직원_직원
104,201206,1101114809377,0013173,농협생명보험주식회사,752,A3,임직원_직원
108,201206,1101110003204,0010593,한화생명보험주식회사,23715,B,등록 설계사
109,201206,1101110007032,0010594,에이비엘생명보험주식회사,6953,B,등록 설계사
110,201206,1101110005953,0010595,삼성생명보험주식회사,42871,B,등록 설계사
111,201206,1101110018443,0010596,흥국생명보험주식회사,4943,B,등록 설계사
112,201206,1101110014970,0010597,교보생명보험주식회사,22363,B,등록 설계사
113,201206,1101110667498,0010599,신한생명보험주식회사,9748,B,등록 설계사
114,201206,1801110078443,0010605,DGB생명보험주식회사,1611,B,등록 설계사
115,201206,2001110014608,0010607,케이디비생명보험주식회사,4890,B,등록 설계사
116,201206,1601110014483,0010608,미래에셋생명보험주식회사,6302,B,등록 설계사
117,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,1618,B,등록 설계사
118,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,2094,B,등록 설계사
119,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,6877,B,등록 설계사
120,201206,1101110818463,0010618,하나생명보험주식회사,322,B,등록 설계사
121,201206,1101110623606,0010619,DB생명보험주식회사,3291,B,등록 설계사
122,201206,1101110631154,0010620,메트라이프생명보험(주),6554,B,등록 설계사
123,201206,1101110624688,0010622,동양생명보험주식회사,3975,B,등록 설계사
124,201206,1101110705322,0010624,PCA생명보험주식회사,1291,B,등록 설계사
125,201206,1101110709232,0010625,처브라이프생명보험주식회사,1014,B,등록 설계사
126,201206,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,B,등록 설계사
127,201206,1101112762668,0011320,푸본현대생명보험주식회사,827,B,등록 설계사
128,201206,1101113003699,0011388,KB생명보험주식회사,1285,B,등록 설계사
129,201206,1101112940751,0011434,라이나생명보험주식회사,2212,B,등록 설계사
130,201206,1101114390376,0012455,아이비케이연금보험 주식회사,0,B,등록 설계사
131,201206,1101114809377,0013173,농협생명보험주식회사,1393,B,등록 설계사
135,201206,1101110003204,0010593,한화생명보험주식회사,21668,B1,등록 설계사_전속 설계사
136,201206,1101110007032,0010594,에이비엘생명보험주식회사,6842,B1,등록 설계사_전속 설계사
137,201206,1101110005953,0010595,삼성생명보험주식회사,40063,B1,등록 설계사_전속 설계사
138,201206,1101110018443,0010596,흥국생명보험주식회사,3874,B1,등록 설계사_전속 설계사
139,201206,1101110014970,0010597,교보생명보험주식회사,19638,B1,등록 설계사_전속 설계사
140,201206,1101110667498,0010599,신한생명보험주식회사,9572,B1,등록 설계사_전속 설계사
141,201206,1801110078443,0010605,DGB생명보험주식회사,1567,B1,등록 설계사_전속 설계사
142,201206,2001110014608,0010607,케이디비생명보험주식회사,4791,B1,등록 설계사_전속 설계사
143,201206,1601110014483,0010608,미래에셋생명보험주식회사,6138,B1,등록 설계사_전속 설계사
144,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,1597,B1,등록 설계사_전속 설계사
145,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,2094,B1,등록 설계사_전속 설계사
146,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,6877,B1,등록 설계사_전속 설계사
147,201206,1101110818463,0010618,하나생명보험주식회사,322,B1,등록 설계사_전속 설계사
148,201206,1101110623606,0010619,DB생명보험주식회사,1352,B1,등록 설계사_전속 설계사
149,201206,1101110631154,0010620,메트라이프생명보험(주),6554,B1,등록 설계사_전속 설계사
150,201206,1101110624688,0010622,동양생명보험주식회사,3768,B1,등록 설계사_전속 설계사
151,201206,1101110705322,0010624,PCA생명보험주식회사,1291,B1,등록 설계사_전속 설계사
152,201206,1101110709232,0010625,처브라이프생명보험주식회사,1014,B1,등록 설계사_전속 설계사
153,201206,1101112620121,0011226,비엔피파리바카디프생명보험주식회사,0,B1,등록 설계사_전속 설계사
154,201206,1101112762668,0011320,푸본현대생명보험주식회사,824,B1,등록 설계사_전속 설계사
155,201206,1101113003699,0011388,KB생명보험주식회사,1285,B1,등록 설계사_전속 설계사
156,201206,1101112940751,0011434,라이나생명보험주식회사,2212,B1,등록 설계사_전속 설계사
157,201206,1101114390376,0012455,아이비케이연금보험 주식회사,0,B1,등록 설계사_전속 설계사
158,201206,1101114809377,0013173,농협생명보험주식회사,1393,B1,등록 설계사_전속 설계사
162,201206,1101110003204,0010593,한화생명보험주식회사,2047,B2,등록 설계사_교차모집 설계사
163,201206,1101110007032,0010594,에이비엘생명보험주식회사,111,B2,등록 설계사_교차모집 설계사
164,201206,1101110005953,0010595,삼성생명보험주식회사,2808,B2,등록 설계사_교차모집 설계사
165,201206,1101110018443,0010596,흥국생명보험주식회사,1069,B2,등록 설계사_교차모집 설계사
166,201206,1101110014970,0010597,교보생명보험주식회사,2725,B2,등록 설계사_교차모집 설계사
167,201206,1101110667498,0010599,신한생명보험주식회사,176,B2,등록 설계사_교차모집 설계사
168,201206,1801110078443,0010605,DGB생명보험주식회사,44,B2,등록 설계사_교차모집 설계사
169,201206,2001110014608,0010607,케이디비생명보험주식회사,99,B2,등록 설계사_교차모집 설계사
170,201206,1601110014483,0010608,미래에셋생명보험주식회사,164,B2,등록 설계사_교차모집 설계사
171,201206,1101116429884,0010615,에이아이에이생명보험 주식회사,21,B2,등록 설계사_교차모집 설계사
172,201206,1101110633712,0010616,푸르덴셜생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
173,201206,1101110803092,0010617,오렌지라이프생명보험 주식회사,0,B2,등록 설계사_교차모집 설계사
174,201206,1101110818463,0010618,하나생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
175,201206,1101110623606,0010619,DB생명보험주식회사,1939,B2,등록 설계사_교차모집 설계사
176,201206,1101110631154,0010620,메트라이프생명보험(주),0,B2,등록 설계사_교차모집 설계사
177,201206,1101110624688,0010622,동양생명보험주식회사,207,B2,등록 설계사_교차모집 설계사
178,201206,1101110705322,0010624,PCA생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
179,201206,1101110709232,0010625,처브라이프생명보험주식회사,0,B2,등록 설계사_교차모집 설계사
